id,street,status,previous_jobs_count,amount_due,lat,lng
0,579 Mission Trl,collected,1,1000,33.38935574,-112.0882128
1,578 Blake Ave,in_progress,2,1000,33.41247393,-112.2808164
2,177 Blake Dv,collected,1,1001,33.45330367,-112.2324875
3,367 Pine Dv,in_progress,2,1001,33.46031995,-111.8886903
4,346 Euclid Wl,in_progress,1,1001,33.459174,-111.9249067
5,713 Post Vis,collected,1,1001,33.38734297,-112.356915
6,111 Franklin Wl,collected,1,1002,33.39681662,-112.2541438
7,751 2nd Pl,collected,1,1002,33.52607029,-111.9301787
8,651 Page Pl,in_progress,1,1002,33.37018265,-112.2316425
9,339 Sutter Wl,active,2,1002,33.4215419,-112.2469648
10,293 9th St,in_progress,3,1002,33.56081451,-111.9265168
11,588 California Pl,collected,2,1002,33.54178994,-112.031741
12,367 1st Blvd,collected,1,1002,33.5479727,-112.3093745
13,125 Texas Vis,in_progress,1,1002,33.48496595,-112.1959273
14,161 Blake Ave,collected,3,1002,33.43280046,-112.161817
15,623 Indiana Vis,active,3,1003,33.54696795,-112.21704
16,461 5th Dv,in_progress,3,1003,33.50971045,-111.8996196
17,102 Texas St,collected,1,1003,33.37432632,-112.2202304
18,324 6th Blvd,collected,2,1003,33.40795963,-111.9483519
19,739 Franklin Ave,active,1,1004,33.38575008,-112.0419989
20,478 Walnut Blvd,collected,1,1004,33.38057686,-112.0356176
21,800 Mission Rd,collected,2,1004,33.40205426,-112.1939239
22,102 Texas Blvd,in_progress,2,1004,33.53386977,-112.0105909
23,204 Bush Ave,active,2,1005,33.48678576,-112.202114
24,567 6th Vis,active,3,1005,33.39203363,-112.3307461
25,237 Geary Pl,active,3,1005,33.38931673,-112.1492435
26,66 Bush Ave,active,3,1006,33.5291876,-112.3175651
27,25 1st Blvd,active,3,1006,33.54231119,-112.3557623
28,79 Wall Trl,collected,2,1006,33.42886164,-112.3245477
29,142 2nd Wl,active,2,1006,33.54465171,-112.0818765
30,378 Page Rd,active,3,1007,33.43959432,-112.0284321
31,178 Walnut Way,in_progress,3,1007,33.56069314,-111.9133639
32,631 2nd Blvd,collected,2,1007,33.55944055,-112.2591397
33,705 9th Cir,active,1,1007,33.51575425,-112.0700718
34,264 Euclid St,in_progress,1,1007,33.5506449,-111.912979
35,439 Page Ave,collected,3,1007,33.54924202,-112.2242406
36,610 Indiana Rd,collected,3,1007,33.47657432,-112.1447733
37,797 Wall Rd,in_progress,3,1007,33.54744359,-111.9777207
38,550 California Wl,in_progress,2,1008,33.43499291,-111.8964951
39,98 Mission Trl,collected,2,1008,33.39016312,-112.1363815
40,331 Pine Vis,in_progress,3,1009,33.47946586,-111.9062134
41,666 3rd Cir,in_progress,3,1011,33.4358619,-112.3013762
42,607 6th Way,in_progress,2,1011,33.57932818,-111.9874422
43,634 8th Trl,in_progress,1,1011,33.36139442,-112.0861333
44,234 Turk Pl,in_progress,1,1012,33.54180297,-112.3289863
45,69 3rd Ave,active,2,1012,33.38052525,-112.0576985
46,120 6th Rd,collected,2,1012,33.54888902,-112.1842436
47,659 5th Rd,collected,2,1012,33.40247086,-112.0707088
48,179 Euclid Vis,active,3,1013,33.54581009,-111.9540937
49,639 7th Blvd,collected,1,1013,33.57500851,-112.3145373
50,84 Wall Dv,collected,1,1013,33.58234545,-112.2200209
51,700 6th Trl,active,2,1013,33.54132883,-112.1808442
52,56 3rd Dv,collected,2,1015,33.56323553,-112.1181473
53,672 Euclid Dv,active,3,1015,33.37145493,-112.2024051
54,135 Pine Wl,active,1,1015,33.49523445,-112.1323823
55,219 6th Rd,active,2,1016,33.42445405,-112.2971486
56,324 7th Trl,in_progress,1,1016,33.52695324,-111.8898714
57,543 Mission Ave,in_progress,1,1016,33.52012671,-112.2714167
58,349 2nd Vis,active,3,1016,33.36944692,-112.2639273
59,160 Geary Cir,active,2,1016,33.48831576,-112.1114054
60,712 8th Blvd,collected,3,1017,33.53501821,-112.3411435
61,702 2nd Ave,in_progress,3,1018,33.43181588,-112.229324
62,197 Franklin Cir,collected,3,1018,33.48176918,-112.1805826
63,312 Geary Trl,active,3,1018,33.39809871,-111.9609582
64,10 6th Blvd,active,2,1018,33.45462562,-112.1478692
65,324 Geary Ave,collected,2,1018,33.46714248,-112.317747
66,148 1st Rd,active,2,1018,33.41753405,-112.1473715
67,692 Turk Blvd,collected,2,1018,33.36606352,-112.3348367
68,259 Turk Wl,in_progress,3,1019,33.53386019,-112.0097098
69,192 Geary Ave,active,1,1019,33.48897674,-112.0743163
70,56 Geary Cir,active,1,1019,33.50212447,-111.9822939
71,245 Bush Wl,active,1,1019,33.38813068,-112.3260875
72,252 7th Cir,collected,2,1019,33.56455648,-111.9295365
73,731 California Rd,in_progress,2,1020,33.51911394,-112.3459765
74,552 9th St,in_progress,3,1020,33.55977051,-112.0342393
75,774 Euclid Trl,in_progress,1,1021,33.45201938,-112.0193129
76,283 Sutter St,active,2,1022,33.45935588,-112.235931
77,695 3rd Pl,collected,2,1022,33.51185408,-112.0341658
78,739 5th Dv,active,3,1022,33.50783302,-112.1063556
79,348 Pine Blvd,in_progress,2,1022,33.51806143,-112.1668805
80,281 9th Dv,active,3,1022,33.58903781,-112.3286349
81,87 2nd Blvd,collected,2,1024,33.37618584,-112.3568477
82,209 Texas Pl,active,2,1024,33.55416569,-112.317313
83,420 Bush Rd,in_progress,2,1025,33.49994583,-112.3167336
84,752 Blake Rd,in_progress,2,1025,33.39018167,-112.2180807
85,781 Franklin Trl,in_progress,2,1025,33.51362032,-112.2641236
86,482 Page Ave,in_progress,2,1025,33.53007369,-112.0596917
87,11 Pine Blvd,active,2,1025,33.39797679,-112.2635914
88,166 Mission Ave,collected,1,1026,33.50564457,-112.1445716
89,427 9th Rd,in_progress,2,1026,33.46535389,-112.0052497
90,799 California Blvd,active,1,1026,33.41185074,-112.1089388
91,439 Page Way,collected,1,1026,33.5439896,-112.2281987
